rank,word,part_of_speech,meaning,sentence_example_polish,english_translation,source_reference
677,mogłem,,I could (masculine),,,https://en.wiktionary.org/wiki/mog%C5%82em
678,lubisz,verb,(you) like,,,https://en.wiktionary.org/wiki/lubisz
679,blisko,adverb,"closely, near",,,https://en.wiktionary.org/wiki/blisko
680,zły,,bad; angry,,,https://en.wiktionary.org/wiki/z%C5%82y
681,środku,,inside; middle (locative),,,https://en.wiktionary.org/wiki/%C5%9Brodku
682,boga,interjection,; for the love of God,,,https://en.wiktionary.org/wiki/boga
683,byliśmy,,we were,,,https://en.wiktionary.org/wiki/byli%C5%9Bmy
684,drodze,noun,road; way (locative),,,https://en.wiktionary.org/wiki/drodze
685,szkoły,,school (genitive/plural),,,https://en.wiktionary.org/wiki/szko%C5%82y
686,czeka,verb,(he/she/it) waits,,,https://en.wiktionary.org/wiki/czeka
687,słowo,,word,,,https://en.wiktionary.org/wiki/s%C5%82owo
688,radę,,advice (accusative),,,https://en.wiktionary.org/wiki/rad%C4%99
689,człowiekiem,,(as/with) a man (instrumental),,,https://en.wiktionary.org/wiki/cz%C5%82owiekiem
690,mogła,,(she) could,,,https://en.wiktionary.org/wiki/mog%C5%82a
691,brat,noun,brother,,,https://en.wiktionary.org/wiki/brat
692,mała,,small; little (feminine),,,https://en.wiktionary.org/wiki/ma%C5%82a
693,krew,noun,blood,,,https://en.wiktionary.org/wiki/krew
694,najbardziej,adverb,the most,,,https://en.wiktionary.org/wiki/najbardziej
695,wejść,,to enter; to come in,,,https://en.wiktionary.org/wiki/wej%C5%9B%C4%87
696,zewnątrz,,outside,,,https://en.wiktionary.org/wiki/zewn%C4%85trz
697,mąż,,husband,,,https://en.wiktionary.org/wiki/m%C4%85%C5%BC
698,robimy,verb,we do; we are doing,,,https://en.wiktionary.org/wiki/robimy
699,słyszysz,,(you) hear,,,https://en.wiktionary.org/wiki/s%C5%82yszysz
700,kimś,,someone (instrumental),,,https://en.wiktionary.org/wiki/kim%C5%9B
701,część,,part,,,https://en.wiktionary.org/wiki/cz%C4%99%C5%9B%C4%87
702,wieczorem,adverb,"in the evening, this evening, tonight",,,https://en.wiktionary.org/wiki/wieczorem
703,widziałam,,I saw (feminine),,,https://en.wiktionary.org/wiki/widzia%C5%82am
704,zna,verb,(he/she) knows,,,https://en.wiktionary.org/wiki/zna
705,wody,noun,water (genitive/plural),,,https://en.wiktionary.org/wiki/wody
706,moi,pronoun,my (plural masculine personal),,,https://en.wiktionary.org/wiki/moi
707,potrzebujesz,verb,(you) need,,,https://en.wiktionary.org/wiki/potrzebujesz
708,lubi,verb,(he/she) likes,,,https://en.wiktionary.org/wiki/lubi
709,wracaj,verb,come back; return (imperative),,,https://en.wiktionary.org/wiki/wracaj
710,rękę,,hand (accusative),,,https://en.wiktionary.org/wiki/r%C4%99k%C4%99
711,tydzień,,week,,,https://en.wiktionary.org/wiki/tydzie%C5%84
712,frank,noun,franc,,,https://en.wiktionary.org/wiki/frank
713,wrócę,,I will come back,,,https://en.wiktionary.org/wiki/wr%C3%B3c%C4%99
714,innym,pronoun,(to/in) another (dative/locative),,,https://en.wiktionary.org/wiki/innym
715,wypadek,noun,accident,,,https://en.wiktionary.org/wiki/wypadek
716,mówiłeś,,(you) said; (you) spoke (masculine),,,https://en.wiktionary.org/wiki/m%C3%B3wi%C5%82e%C5%9B
717,stronie,noun,side; page (dative/locative),,,https://en.wiktionary.org/wiki/stronie
718,mógłbyś,,could you (masculine),,,https://en.wiktionary.org/wiki/m%C3%B3g%C5%82by%C5%9B
719,sprawie,noun,matter; case (dative/locative),,,https://en.wiktionary.org/wiki/sprawie
720,zobaczymy,verb,we will see,,,https://en.wiktionary.org/wiki/zobaczymy
721,wziąć,,to take,,,https://en.wiktionary.org/wiki/wzi%C4%85%C4%87
722,gdybyś,,if you (would),,,https://en.wiktionary.org/wiki/gdyby%C5%9B
723,naszą,,our (feminine accusative),,,https://en.wiktionary.org/wiki/nasz%C4%85
724,nazywam,verb,(I) call myself; my name is,,,https://en.wiktionary.org/wiki/nazywam
725,późno,,late,,,https://en.wiktionary.org/wiki/p%C3%B3%C5%BAno
726,zależy,,depends,,,https://en.wiktionary.org/wiki/zale%C5%BCy
727,człowieku,,dude; man; guy (vocative),,,https://en.wiktionary.org/wiki/cz%C5%82owieku
728,góry,,mountains,,,https://en.wiktionary.org/wiki/g%C3%B3ry
729,pomóż,,help! (imperative),,,https://en.wiktionary.org/wiki/pom%C3%B3%C5%BC
730,jechać,,to go; to ride; to drive,,,https://en.wiktionary.org/wiki/jecha%C4%87
731,pokaż,,show! (imperative),,,https://en.wiktionary.org/wiki/poka%C5%BC
732,ciężko,,hard; difficult,,,https://en.wiktionary.org/wiki/ci%C4%99%C5%BCko
733,napisów,,subtitles (genitive plural),,,https://en.wiktionary.org/wiki/napis%C3%B3w
734,serio,adjective,serious,,,https://en.wiktionary.org/wiki/serio
735,roboty,noun,work; jobs; tasks (plural),,,https://en.wiktionary.org/wiki/roboty
736,zrobi,verb,(he/she) will do; will make,,,https://en.wiktionary.org/wiki/zrobi
737,mniej,adverb,; less,,,https://en.wiktionary.org/wiki/mniej
738,broni,noun,weapons (genitive/accusative),,,https://en.wiktionary.org/wiki/broni
739,kiedykolwiek,adverb,"at any time, whenever, ever",,,https://en.wiktionary.org/wiki/kiedykolwiek
740,temat,noun,subject,,,https://en.wiktionary.org/wiki/temat
741,mało,,little; not much,,,https://en.wiktionary.org/wiki/ma%C5%82o
742,popatrz,verb,look! have a look! (imperative),,,https://en.wiktionary.org/wiki/popatrz
743,charlie,,Charlie (name),,,https://en.wiktionary.org/wiki/charlie
744,prawa,adjective,right; laws (plural/genitive),,,https://en.wiktionary.org/wiki/prawa
745,miesięcy,,months (genitive plural),,,https://en.wiktionary.org/wiki/miesi%C4%99cy
746,pójść,,to go (on foot),,,https://en.wiktionary.org/wiki/p%C3%B3j%C5%9B%C4%87
747,koleś,,dude; guy (slang),,,https://en.wiktionary.org/wiki/kole%C5%9B
748,jedziemy,verb,we are going (by vehicle),,,https://en.wiktionary.org/wiki/jedziemy
749,wkrótce,,soon,,,https://en.wiktionary.org/wiki/wkr%C3%B3tce
750,nowe,adjective,new (neuter/plural),,,https://en.wiktionary.org/wiki/nowe
751,pierwsze,numeral,first (neuter/plural),,,https://en.wiktionary.org/wiki/pierwsze
752,nazwisko,noun,"surname, last name",,,https://en.wiktionary.org/wiki/nazwisko
753,miasto,noun,"city, town",,,https://en.wiktionary.org/wiki/miasto
754,racja,noun,"rightness, righteousness; fairness",,,https://en.wiktionary.org/wiki/racja
755,leci,verb,(he/she/it) flies; goes,,,https://en.wiktionary.org/wiki/leci
756,zostań,,stay! (imperative),,,https://en.wiktionary.org/wiki/zosta%C5%84
757,stronę,,side; page (accusative),,,https://en.wiktionary.org/wiki/stron%C4%99
758,nieważne,,never mind; it doesn't matter,,,https://en.wiktionary.org/wiki/niewa%C5%BCne
759,chciała,,(she) wanted,,,https://en.wiktionary.org/wiki/chcia%C5%82a
760,chłopak,,boy; boyfriend,,,https://en.wiktionary.org/wiki/ch%C5%82opak
761,zdjęcia,,photographs; pictures (plural),,,https://en.wiktionary.org/wiki/zdj%C4%99cia
762,znalazłem,,(I) found (masculine),,,https://en.wiktionary.org/wiki/znalaz%C5%82em
763,powinno,adverb,as it ought,,,https://en.wiktionary.org/wiki/powinno
764,robią,,(they) do; are doing,,,https://en.wiktionary.org/wiki/robi%C4%85
765,powinnaś,,you (female) should,,,https://en.wiktionary.org/wiki/powinna%C5%9B
766,statek,noun,"ship, craft, vessel",,,https://en.wiktionary.org/wiki/statek
767,zostały,,(they) remained; were left,,,https://en.wiktionary.org/wiki/zosta%C5%82y
768,wszędzie,,everywhere,,,https://en.wiktionary.org/wiki/wsz%C4%99dzie
769,prosto,adverb,straight,,,https://en.wiktionary.org/wiki/prosto
770,wielkie,adjective,big; great (neuter/plural),,,https://en.wiktionary.org/wiki/wielkie
771,dół,,hole; pit; bottom,,,https://en.wiktionary.org/wiki/d%C3%B3%C5%82
772,zupełnie,,completely,,,https://en.wiktionary.org/wiki/zupe%C5%82nie
773,tędy,,this way,,,https://en.wiktionary.org/wiki/t%C4%99dy
774,spotkanie,noun,meeting,,,https://en.wiktionary.org/wiki/spotkanie
775,małe,,small (neuter/plural),,,https://en.wiktionary.org/wiki/ma%C5%82e
776,ponad,preposition,"; above, over",,,https://en.wiktionary.org/wiki/ponad
777,według,,according to,,,https://en.wiktionary.org/wiki/wed%C5%82ug
778,widział,,(he) saw,,,https://en.wiktionary.org/wiki/widzia%C5%82
779,mówiąc,,speaking; saying,,,https://en.wiktionary.org/wiki/m%C3%B3wi%C4%85c
780,drogę,,road; way (accusative),,,https://en.wiktionary.org/wiki/drog%C4%99
781,doktor,noun,"physician, medical doctor",,,https://en.wiktionary.org/wiki/doktor
782,praca,noun,work,,,https://en.wiktionary.org/wiki/praca
783,drugi,adjective,second,,,https://en.wiktionary.org/wiki/drugi
784,byłaś,,you (female) were,,,https://en.wiktionary.org/wiki/by%C5%82a%C5%9B
785,górę,,mountain; up (accusative),,,https://en.wiktionary.org/wiki/g%C3%B3r%C4%99
786,wiedzą,,(they) know,,,https://en.wiktionary.org/wiki/wiedz%C4%85
787,mieście,,city; town (locative),,,https://en.wiktionary.org/wiki/mie%C5%9Bcie
788,jakoś,,somehow,,,https://en.wiktionary.org/wiki/jako%C5%9B
789,film,noun,", movie, motion picture",,,https://en.wiktionary.org/wiki/film
790,czyli,particle,"; as in, in other words, i.e., or, that is to say",,,https://en.wiktionary.org/wiki/czyli
791,chociaż,,although,,,https://en.wiktionary.org/wiki/chocia%C5%BC
792,kłopoty,,troubles; problems,,,https://en.wiktionary.org/wiki/k%C5%82opoty
793,droga,noun,road,,,https://en.wiktionary.org/wiki/droga
794,samochodu,noun,car (genitive),,,https://en.wiktionary.org/wiki/samochodu
795,szansę,,chance (accusative),,,https://en.wiktionary.org/wiki/szans%C4%99
796,zatrzymać,,to stop,,,https://en.wiktionary.org/wiki/zatrzyma%C4%87
797,niemożliwe,,impossible,,,https://en.wiktionary.org/wiki/niemo%C5%BCliwe
798,spać,,to sleep,,,https://en.wiktionary.org/wiki/spa%C4%87
799,chłopcy,,boys,,,https://en.wiktionary.org/wiki/ch%C5%82opcy
800,mógłby,,,,,https://en.wiktionary.org/wiki/m%C3%B3g%C5%82by
801,wasza,pronoun,,,,https://en.wiktionary.org/wiki/wasza
802,sądzisz,,,,,https://en.wiktionary.org/wiki/s%C4%85dzisz
803,przyjaciel,noun,"friend; best friend, bosom friend, close friend",,,https://en.wiktionary.org/wiki/przyjaciel
804,michael,,,,,https://en.wiktionary.org/wiki/michael
805,tymi,pronoun,,,,https://en.wiktionary.org/wiki/tymi
806,złe,,,,,https://en.wiktionary.org/wiki/z%C5%82e
807,mogli,verb,,,,https://en.wiktionary.org/wiki/mogli
808,synu,noun,,,,https://en.wiktionary.org/wiki/synu
809,powiedziałam,,,,,https://en.wiktionary.org/wiki/powiedzia%C5%82am
810,szkoda,noun,"damage, harm",,,https://en.wiktionary.org/wiki/szkoda
811,całym,,,,,https://en.wiktionary.org/wiki/ca%C5%82ym
812,żaden,,,,,https://en.wiktionary.org/wiki/%C5%BCaden
813,taa,,,,,https://en.wiktionary.org/wiki/taa
814,trzech,numeral,,,,https://en.wiktionary.org/wiki/trzech
815,wami,pronoun,,,,https://en.wiktionary.org/wiki/wami
816,pracuje,verb,,,,https://en.wiktionary.org/wiki/pracuje
817,faceta,noun,,,,https://en.wiktionary.org/wiki/faceta
818,sprawdzić,,,,,https://en.wiktionary.org/wiki/sprawdzi%C4%87
819,pogadać,,,,,https://en.wiktionary.org/wiki/pogada%C4%87
820,serca,noun,,,,https://en.wiktionary.org/wiki/serca
821,you,,,,,https://en.wiktionary.org/wiki/you
822,kraju,noun,,,,https://en.wiktionary.org/wiki/kraju
823,dał,,,,,https://en.wiktionary.org/wiki/da%C5%82
824,trudno,adverb,"hard, with difficulty",,,https://en.wiktionary.org/wiki/trudno
825,drugiej,numeral,,,,https://en.wiktionary.org/wiki/drugiej
826,zaczyna,verb,,,,https://en.wiktionary.org/wiki/zaczyna
827,brak,noun,lack,,,https://en.wiktionary.org/wiki/brak
828,choć,,,,,https://en.wiktionary.org/wiki/cho%C4%87
829,powinnam,verb,,,,https://en.wiktionary.org/wiki/powinnam
830,ruszać,,,,,https://en.wiktionary.org/wiki/rusza%C4%87
831,chciałabym,,,,,https://en.wiktionary.org/wiki/chcia%C5%82abym
832,cicho,adverb,"quietly, silently",,,https://en.wiktionary.org/wiki/cicho
833,samego,adjective,,,,https://en.wiktionary.org/wiki/samego
834,dziewczynę,,,,,https://en.wiktionary.org/wiki/dziewczyn%C4%99
835,godzinę,,,,,https://en.wiktionary.org/wiki/godzin%C4%99
836,piękna,,,,,https://en.wiktionary.org/wiki/pi%C4%99kna
837,jakąś,,,,,https://en.wiktionary.org/wiki/jak%C4%85%C5%9B
838,tom,noun,volume,,,https://en.wiktionary.org/wiki/tom
839,www,,,,,https://en.wiktionary.org/wiki/www
840,widzenia,noun,,,,https://en.wiktionary.org/wiki/widzenia
841,spotkać,,,,,https://en.wiktionary.org/wiki/spotka%C4%87
842,pracować,,,,,https://en.wiktionary.org/wiki/pracowa%C4%87
843,żadnej,,,,,https://en.wiktionary.org/wiki/%C5%BCadnej
844,pa,interjection,bye,,,https://en.wiktionary.org/wiki/pa
845,spróbuj,,,,,https://en.wiktionary.org/wiki/spr%C3%B3buj
846,znać,,,,,https://en.wiktionary.org/wiki/zna%C4%87
847,ciała,,,,,https://en.wiktionary.org/wiki/cia%C5%82a
848,przyjaciół,,,,,https://en.wiktionary.org/wiki/przyjaci%C3%B3%C5%82
849,razu,noun,,,,https://en.wiktionary.org/wiki/razu
850,zapomnij,verb,,,,https://en.wiktionary.org/wiki/zapomnij
851,harry,,,,,https://en.wiktionary.org/wiki/harry
852,najlepszy,adjective,;,,,https://en.wiktionary.org/wiki/najlepszy
853,ostatnie,adjective,,,,https://en.wiktionary.org/wiki/ostatnie
854,policji,noun,,,,https://en.wiktionary.org/wiki/policji
855,otwórz,,,,,https://en.wiktionary.org/wiki/otw%C3%B3rz
856,problemy,noun,,,,https://en.wiktionary.org/wiki/problemy
857,ojcem,noun,,,,https://en.wiktionary.org/wiki/ojcem
858,przykład,,,,,https://en.wiktionary.org/wiki/przyk%C5%82ad
859,myśleć,,,,,https://en.wiktionary.org/wiki/my%C5%9Ble%C4%87
860,głupi,,,,,https://en.wiktionary.org/wiki/g%C5%82upi
861,wolno,adverb,slowly,,,https://en.wiktionary.org/wiki/wolno
862,słyszałeś,,,,,https://en.wiktionary.org/wiki/s%C5%82ysza%C5%82e%C5%9B
863,powodzenia,noun,,,,https://en.wiktionary.org/wiki/powodzenia
864,rodzina,noun,family,,,https://en.wiktionary.org/wiki/rodzina
865,pomoże,,,,,https://en.wiktionary.org/wiki/pomo%C5%BCe
866,kilku,determiner,,,,https://en.wiktionary.org/wiki/kilku
867,uwagę,,,,,https://en.wiktionary.org/wiki/uwag%C4%99
868,muszą,,,,,https://en.wiktionary.org/wiki/musz%C4%85
869,chwila,noun,"instant, moment",,,https://en.wiktionary.org/wiki/chwila
870,jakaś,,,,,https://en.wiktionary.org/wiki/jaka%C5%9B
871,zdjęcie,,,,,https://en.wiktionary.org/wiki/zdj%C4%99cie
872,środka,,,,,https://en.wiktionary.org/wiki/%C5%9Brodka
873,nowym,adjective,,,,https://en.wiktionary.org/wiki/nowym
874,szefie,noun,,,,https://en.wiktionary.org/wiki/szefie
875,odejść,,,,,https://en.wiktionary.org/wiki/odej%C5%9B%C4%87
876,wspólnego,,,,,https://en.wiktionary.org/wiki/wsp%C3%B3lnego
877,musiałem,,,,,https://en.wiktionary.org/wiki/musia%C5%82em
878,sami,adjective,,,,https://en.wiktionary.org/wiki/sami
879,ziemię,,,,,https://en.wiktionary.org/wiki/ziemi%C4%99
880,dawno,adverb,a long time ago,,,https://en.wiktionary.org/wiki/dawno
881,będziecie,,,,,https://en.wiktionary.org/wiki/b%C4%99dziecie
882,trzymać,,,,,https://en.wiktionary.org/wiki/trzyma%C4%87
883,pracuję,,,,,https://en.wiktionary.org/wiki/pracuj%C4%99
884,pewnego,adjective,,,,https://en.wiktionary.org/wiki/pewnego
885,inni,pronoun,,,,https://en.wiktionary.org/wiki/inni
886,gotowi,adjective,,,,https://en.wiktionary.org/wiki/gotowi
887,sześć,,,,,https://en.wiktionary.org/wiki/sze%C5%9B%C4%87
888,głowie,,,,,https://en.wiktionary.org/wiki/g%C5%82owie
889,zabierz,verb,,,,https://en.wiktionary.org/wiki/zabierz
890,sekund,noun,,,,https://en.wiktionary.org/wiki/sekund
891,zmienić,,,,,https://en.wiktionary.org/wiki/zmieni%C4%87
892,zabiję,,,,,https://en.wiktionary.org/wiki/zabij%C4%99
893,czekać,,,,,https://en.wiktionary.org/wiki/czeka%C4%87
894,gość,,,,,https://en.wiktionary.org/wiki/go%C5%9B%C4%87
895,walczyć,,,,,https://en.wiktionary.org/wiki/walczy%C4%87
896,chwileczkę,,,,,https://en.wiktionary.org/wiki/chwileczk%C4%99
897,wystarczająco,,,,,https://en.wiktionary.org/wiki/wystarczaj%C4%85co
898,musicie,verb,,,,https://en.wiktionary.org/wiki/musicie
899,dasz,verb,,,,https://en.wiktionary.org/wiki/dasz
900,tysięcy,,,,,https://en.wiktionary.org/wiki/tysi%C4%99cy
901,pierwsza,noun,one o'clock,,,https://en.wiktionary.org/wiki/pierwsza
902,zadzwonić,,,,,https://en.wiktionary.org/wiki/zadzwoni%C4%87
903,rady,adjective,,,,https://en.wiktionary.org/wiki/rady
904,prawdopodobnie,adverb,probably,,,https://en.wiktionary.org/wiki/prawdopodobnie
905,zostawić,,,,,https://en.wiktionary.org/wiki/zostawi%C4%87
906,niestety,particle,unfortunately,,,https://en.wiktionary.org/wiki/niestety
907,zobacz,verb,,,,https://en.wiktionary.org/wiki/zobacz
908,nagle,adverb,suddenly,,,https://en.wiktionary.org/wiki/nagle
909,wezmę,,,,,https://en.wiktionary.org/wiki/wezm%C4%99
910,zabawne,,,,,https://en.wiktionary.org/wiki/zabawne
911,żonę,,,,,https://en.wiktionary.org/wiki/%C5%BCon%C4%99
912,panem,noun,,,,https://en.wiktionary.org/wiki/panem
913,większość,,,,,https://en.wiktionary.org/wiki/wi%C4%99kszo%C5%9B%C4%87
914,wracam,verb,,,,https://en.wiktionary.org/wiki/wracam
915,joe,,,,,https://en.wiktionary.org/wiki/joe
916,wiedziałam,,,,,https://en.wiktionary.org/wiki/wiedzia%C5%82am
917,brata,noun,,,,https://en.wiktionary.org/wiki/brata
918,często,,,,,https://en.wiktionary.org/wiki/cz%C4%99sto
919,powie,verb,,,,https://en.wiktionary.org/wiki/powie
920,dobrym,adjective,,,,https://en.wiktionary.org/wiki/dobrym
921,tyłu,,,,,https://en.wiktionary.org/wiki/ty%C5%82u
922,błąd,,,,,https://en.wiktionary.org/wiki/b%C5%82%C4%85d
923,boję,,,,,https://en.wiktionary.org/wiki/boj%C4%99
924,cel,noun,"goal, aim, objective, target",,,https://en.wiktionary.org/wiki/cel
925,rany,interjection,"crap, darn, jeez",,,https://en.wiktionary.org/wiki/rany
926,mówiłam,,,,,https://en.wiktionary.org/wiki/m%C3%B3wi%C5%82am
927,wasze,pronoun,,,,https://en.wiktionary.org/wiki/wasze
928,niczym,preposition,"as, like;",,,https://en.wiktionary.org/wiki/niczym
929,obiecuję,,,,,https://en.wiktionary.org/wiki/obiecuj%C4%99
930,początku,,,,,https://en.wiktionary.org/wiki/pocz%C4%85tku
931,historia,noun,history,,,https://en.wiktionary.org/wiki/historia
932,chciałeś,,,,,https://en.wiktionary.org/wiki/chcia%C5%82e%C5%9B
933,uwaga,noun,attention,,,https://en.wiktionary.org/wiki/uwaga
934,gotowa,adjective,,,,https://en.wiktionary.org/wiki/gotowa
935,zacząć,,,,,https://en.wiktionary.org/wiki/zacz%C4%85%C4%87
936,zatem,particle,"ergo, then, therefore",,,https://en.wiktionary.org/wiki/zatem
937,tony,noun,,,,https://en.wiktionary.org/wiki/tony
938,istnieje,verb,,,,https://en.wiktionary.org/wiki/istnieje
939,jednej,numeral,,,,https://en.wiktionary.org/wiki/jednej
940,pokazać,,,,,https://en.wiktionary.org/wiki/pokaza%C4%87
941,nikomu,pronoun,,,,https://en.wiktionary.org/wiki/nikomu
942,jakim,pronoun,,,,https://en.wiktionary.org/wiki/jakim
943,rodzice,noun,,,,https://en.wiktionary.org/wiki/rodzice
944,okay,,,,,https://en.wiktionary.org/wiki/okay
945,szkole,noun,,,,https://en.wiktionary.org/wiki/szkole
946,czuje,verb,,,,https://en.wiktionary.org/wiki/czuje
947,los,noun,fate,,,https://en.wiktionary.org/wiki/los
948,george,,,,,https://en.wiktionary.org/wiki/george
949,david,,,,,https://en.wiktionary.org/wiki/david
950,obok,preposition,"beside, next to, near",,,https://en.wiktionary.org/wiki/obok
951,uspokój,,,,,https://en.wiktionary.org/wiki/uspok%C3%B3j
952,chodźcie,,,,,https://en.wiktionary.org/wiki/chod%C5%BAcie
953,miało,,,,,https://en.wiktionary.org/wiki/mia%C5%82o
954,całkowicie,,,,,https://en.wiktionary.org/wiki/ca%C5%82kowicie
955,stój,,,,,https://en.wiktionary.org/wiki/st%C3%B3j
956,wiadomości,,,,,https://en.wiktionary.org/wiki/wiadomo%C5%9Bci
957,pomyślałem,,,,,https://en.wiktionary.org/wiki/pomy%C5%9Bla%C5%82em
958,nogi,noun,,,,https://en.wiktionary.org/wiki/nogi
959,org,,,,,https://en.wiktionary.org/wiki/org
960,ulicy,noun,,,,https://en.wiktionary.org/wiki/ulicy
961,matki,noun,,,,https://en.wiktionary.org/wiki/matki
962,fbi,,,,,https://en.wiktionary.org/wiki/fbi
963,jedź,,,,,https://en.wiktionary.org/wiki/jed%C5%BA
964,wojny,noun,,,,https://en.wiktionary.org/wiki/wojny
965,ciągu,,,,,https://en.wiktionary.org/wiki/ci%C4%85gu
966,okazji,noun,,,,https://en.wiktionary.org/wiki/okazji
967,zadzwonię,,,,,https://en.wiktionary.org/wiki/zadzwoni%C4%99
968,około,,,,,https://en.wiktionary.org/wiki/oko%C5%82o
969,ojcze,noun,,,,https://en.wiktionary.org/wiki/ojcze
970,samym,adjective,,,,https://en.wiktionary.org/wiki/samym
971,uważam,,,,,https://en.wiktionary.org/wiki/uwa%C5%BCam
972,miłości,,,,,https://en.wiktionary.org/wiki/mi%C5%82o%C5%9Bci
973,mike,,,,,https://en.wiktionary.org/wiki/mike
974,przyszedł,,,,,https://en.wiktionary.org/wiki/przyszed%C5%82
975,tygodniu,noun,,,,https://en.wiktionary.org/wiki/tygodniu
976,prawdziwe,adjective,,,,https://en.wiktionary.org/wiki/prawdziwe
977,zadzwoń,,,,,https://en.wiktionary.org/wiki/zadzwo%C5%84
978,widać,,,,,https://en.wiktionary.org/wiki/wida%C4%87
979,myśl,,,,,https://en.wiktionary.org/wiki/my%C5%9Bl
980,pozwolić,,,,,https://en.wiktionary.org/wiki/pozwoli%C4%87
981,słyszę,,,,,https://en.wiktionary.org/wiki/s%C5%82ysz%C4%99
982,wracać,,,,,https://en.wiktionary.org/wiki/wraca%C4%87
983,dajcie,verb,,,,https://en.wiktionary.org/wiki/dajcie
984,historii,noun,,,,https://en.wiktionary.org/wiki/historii
985,http,,,,,https://en.wiktionary.org/wiki/http
986,zajmę,,,,,https://en.wiktionary.org/wiki/zajm%C4%99
987,wieku,noun,,,,https://en.wiktionary.org/wiki/wieku
988,jedynie,particle,"only, merely",,,https://en.wiktionary.org/wiki/jedynie
989,zamiast,conjunction,instead,,,https://en.wiktionary.org/wiki/zamiast
990,jakiegoś,,,,,https://en.wiktionary.org/wiki/jakiego%C5%9B
991,umrzeć,,,,,https://en.wiktionary.org/wiki/umrze%C4%87
992,wróci,,,,,https://en.wiktionary.org/wiki/wr%C3%B3ci
993,przyjdzie,verb,,,,https://en.wiktionary.org/wiki/przyjdzie
994,łatwo,,,,,https://en.wiktionary.org/wiki/%C5%82atwo
995,siostra,noun,sister,,,https://en.wiktionary.org/wiki/siostra
996,oraz,adverb,at the same time,,,https://en.wiktionary.org/wiki/oraz
997,prawdziwy,adjective,true,,,https://en.wiktionary.org/wiki/prawdziwy
998,czyż,,,,,https://en.wiktionary.org/wiki/czy%C5%BC
999,następny,,,,,https://en.wiktionary.org/wiki/nast%C4%99pny
1000,proste,adjective,simple,,,https://en.wiktionary.org/wiki/proste
1001,rodzinę,,,,,https://en.wiktionary.org/wiki/rodzin%C4%99
1002,uważasz,,,,,https://en.wiktionary.org/wiki/uwa%C5%BCasz
1003,córka,,,,,https://en.wiktionary.org/wiki/c%C3%B3rka
1004,piękne,,,,,https://en.wiktionary.org/wiki/pi%C4%99kne
1005,dłużej,,,,,https://en.wiktionary.org/wiki/d%C5%82u%C5%BCej
1006,mężczyzna,,,,,https://en.wiktionary.org/wiki/m%C4%99%C5%BCczyzna
1007,przyjacielem,noun,,,,https://en.wiktionary.org/wiki/przyjacielem
1008,chryste,,,,,https://en.wiktionary.org/wiki/chryste
1009,niedługo,,,,,https://en.wiktionary.org/wiki/nied%C5%82ugo
1010,tyłek,,,,,https://en.wiktionary.org/wiki/ty%C5%82ek
1011,złego,,,,,https://en.wiktionary.org/wiki/z%C5%82ego
1012,james,,,,,https://en.wiktionary.org/wiki/james
1013,kupić,,,,,https://en.wiktionary.org/wiki/kupi%C4%87
1014,takiej,pronoun,,,,https://en.wiktionary.org/wiki/takiej
1015,póki,,,,,https://en.wiktionary.org/wiki/p%C3%B3ki
1016,osób,,,,,https://en.wiktionary.org/wiki/os%C3%B3b
1017,powiedziałaś,,,,,https://en.wiktionary.org/wiki/powiedzia%C5%82a%C5%9B
1018,pytania,noun,,,,https://en.wiktionary.org/wiki/pytania
1019,niby,conjunction,"as, as if",,,https://en.wiktionary.org/wiki/niby
1020,włosy,,,,,https://en.wiktionary.org/wiki/w%C5%82osy
1021,nienawidzę,,,,,https://en.wiktionary.org/wiki/nienawidz%C4%99
1022,boli,verb,,,,https://en.wiktionary.org/wiki/boli
1023,moment,noun,,,,https://en.wiktionary.org/wiki/moment
1024,wrócił,,,,,https://en.wiktionary.org/wiki/wr%C3%B3ci%C5%82
1025,znajdę,,,,,https://en.wiktionary.org/wiki/znajd%C4%99
1026,przysięgam,,,,,https://en.wiktionary.org/wiki/przysi%C4%99gam
1027,stan,noun,,,,https://en.wiktionary.org/wiki/stan
1028,strasznie,adverb,"extremely, really",,,https://en.wiktionary.org/wiki/strasznie
1029,potrafię,,,,,https://en.wiktionary.org/wiki/potrafi%C4%99
1030,daje,verb,,,,https://en.wiktionary.org/wiki/daje
1031,zrobiła,,,,,https://en.wiktionary.org/wiki/zrobi%C5%82a
1032,spokoju,noun,,,,https://en.wiktionary.org/wiki/spokoju
1033,ben,,,,,https://en.wiktionary.org/wiki/ben
1034,spróbować,,,,,https://en.wiktionary.org/wiki/spr%C3%B3bowa%C4%87
1035,męża,,,,,https://en.wiktionary.org/wiki/m%C4%99%C5%BCa
1036,górze,,,,,https://en.wiktionary.org/wiki/g%C3%B3rze
1037,wyboru,noun,,,,https://en.wiktionary.org/wiki/wyboru
1038,szukam,verb,,,,https://en.wiktionary.org/wiki/szukam
1039,mówiła,,,,,https://en.wiktionary.org/wiki/m%C3%B3wi%C5%82a
1040,kobietą,,,,,https://en.wiktionary.org/wiki/kobiet%C4%85
1041,dowiedzieć,,,,,https://en.wiktionary.org/wiki/dowiedzie%C4%87
1042,znaleźliśmy,,,,,https://en.wiktionary.org/wiki/znale%C5%BAli%C5%9Bmy
1043,żartujesz,,,,,https://en.wiktionary.org/wiki/%C5%BCartujesz
